scope,subset_id,n_features,feature_set,auc,accuracy,n_samples,n_los,n_nlos
C,S127,7,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.847142857142857,0.695454545454545,56,21,35
C,S30,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.847142857142857,0.753030303030303,56,21,35
C,S102,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.845714285714286,0.803030303030303,56,21,35
C,S108,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.845714285714286,0.765151515151515,56,21,35
C,S107,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.845714285714286,0.765151515151515,56,21,35
C,S32,1,a_FP_LHCP_rx2,0.845714285714286,0.786363636363636,56,21,35
C,S115,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.845714285714286,0.733333333333333,56,21,35
C,S106,4,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.844285714285714,0.766666666666667,56,21,35
C,S45,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.844285714285714,0.765151515151515,56,21,35
C,S29,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.844285714285714,0.75,56,21,35
C,S112,3,a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.844285714285714,0.733333333333333,56,21,35
