pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m,gamma_CP
11,17.8868156612958,0.210898467074349,1,1,18,18,-66.2503738860385,-57.0162072884808,1.94084351474037,33.8327878078512,0.257882967570354,0.17044835804586,0.308009264553804,0.107253278127376,18,18,18,18,0,0,11,NA,NaN,1.25253303124256
12,19.3705651350092,0.233092886885191,1,1,23,23,-66.7015372437346,-60.0449139162753,2.58401247891108,36.1571177911073,0.30265990656672,0.183864254544861,0.382409941292719,0.0634374451364658,23,23,23,23,0,0,12,NA,NaN,1.28714229141791
13,34.0545912624454,0.087853651642939,0,1,28,28,-73.1242002445282,-70.6932815618291,2.33630538925129,65.7728771356394,0.110266481291145,0.0197099774910406,0.217150772381158,0.00428737540841256,29,29,27,27,2,0.998003992016521,13,NA,NaN,1.53217567206453
14,24.8792406943007,0.192458566433914,0,1,33,33,-69.2769015977625,-64.4549407703867,8.54542896453606,41.2130524240654,0.237465697494454,0.0748005757895936,0.420462969179573,0.0371050232720352,33,33,33,33,0,0,14,NA,NaN,1.39583712170579
15,8.59298107107801,0.250108054224292,1,1,5,5,-66.8256691518918,-55.37118750362,1.49677545275089,15.6891866894051,0.256203923335644,0.205353386430477,0.294652758116336,0.24422214901471,5,5,5,5,0,0,15,NA,NaN,0.934143855114317
16,198.906393122157,0.296860814567257,1,1,9,9,-64.2398584925705,-54.9807644781749,1.54087101562697,396.271915228686,0.367169716517278,0.341594220488263,0.409627370082148,0.0690519511813393,9,9,9,9,0,0,16,NA,NaN,2.29864874216443
17,24.6452016034839,0.272454308900042,1,1,13,13,-63.6157629751526,-56.7252672633741,2.31974870049479,46.970654506473,0.349540726717717,0.242863159018967,0.392022238724352,0.105391111139134,13,13,13,13,0,0,17,NA,NaN,1.39173237513519
18,18.6572836390822,0.293788141026218,0,1,18,18,-64.8607756045137,-58.9816518509249,1.91997740200921,35.3945898761551,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,18,18,18,18,0,0,18,NA,NaN,1.27084841398545
19,16.4124658368806,0.1567006661506,0,1,22,22,-66.2745550180514,-61.541706231353,2.75845774116789,30.0664739325933,0.268898192628369,0.0602121226334828,0.24887021833512,0.0488221310054283,22,22,22,22,0,0,19,NA,NaN,1.21517383509938
20,15.5998661477721,0.166708162420171,0,1,27,27,-70.5818701862002,-63.8869796201693,2.94363361107846,28.2560986844657,0.291184810313472,0.0751683528243467,0.264265760933308,0.036213725609557,27,27,27,27,0,0,20,NA,NaN,1.19312087197412
21,18.5580204444015,0.173226717585583,0,1,32,32,-68.1510706819492,-63.1393928593915,2.9584154556483,34.1576254331547,0.256062380177489,0.100261224845175,0.282366441438311,0.0542168238813563,32,32,32,32,0,0,21,NA,NaN,1.26853164882663
22,46.5655128687064,0.272582220382601,1,1,4,4,-62.5957196841351,-56.3444027939723,2.07204881188392,91.0589769255288,0.310194213168612,0.28705841920578,0.327600137146172,0.16547611200984,4,4,4,4,0,0,22,NA,NaN,1.66806439060078
23,8.93459186460541,0.346953517756826,1,1,8,8,-60.5304823591228,-56.3034989068506,1.87309026756924,15.9960934616416,0.365063962744766,0.34718106378997,0.381582418426363,0.293986626066207,8,8,8,8,0,0,23,NA,NaN,0.951074718565432
24,7.42134411959688,0.267256793825547,1,1,12,12,-61.0861826069792,-58.323687623293,2.46301106014313,12.3796771790506,0.294467251300359,0.254699626586838,0.322603222413457,0.197257075001534,12,12,12,12,0,0,24,NA,NaN,0.870482569815181
25,9.17425356113876,0.240286980553405,0,1,17,17,-63.7760575695246,-61.5240585162108,2.75303629485921,15.5954708274183,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,17,17,17,17,0,0,25,NA,NaN,0.962570739140373
26,9.83757157111346,0.241638240242293,0,1,22,22,-66.8947717612329,-63.4981937533702,3.26448238142345,16.4106607608035,0.383034663179524,0.114491064960275,0.402092573805661,0.0669346590237122,22,22,22,22,0,0,26,NA,NaN,0.99288790499371
