case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseC,C,CP,10,2.25,-1.25,1,0.183934970062752,0.301417670653734,-66.4819967624445,3.68882580842448,0.932602679071932,0.946492072441821,1,1,0,0,0,0,0.0138893933698884
CP_caseC,C,CP,12,3.75,-1.25,1,0.17341196181852,0.205056376685297,-70.5205813229491,3.60143010679617,0.891180822195731,0.878410542538935,1,1,0,0,0,0,-0.0127702796567951
CP_caseC,C,CP,13,4.5,-1.25,1,0.185319552653678,0.128370003916187,-77.6419198446784,7.43710876207914,0.222676368698789,0.169218690912021,0,0,1,1,0,0,-0.0534576777867685
CP_caseC,C,CP,14,5.25,-1.25,0,0.486896395393919,0.0989878919873208,-80.0017823086724,8.94558490173591,0.16577954274706,0.146701684817873,0,0,0,0,0,0,-0.0190778579291877
CP_caseC,C,CP,15,0.75,-0.75,1,0.0622113046945295,0.210770456571877,-65.1605193872649,3.7436470691639,0.952076160481138,0.93411810769647,1,1,0,0,0,0,-0.017958052784668
CP_caseC,C,CP,16,1.5,-0.75,1,0.105799103155689,0.336359382733045,-64.1105508535936,3.40417923401674,0.977820137047735,0.988294262603266,1,1,0,0,0,0,0.0104741255555314
CP_caseC,C,CP,17,2.25,-0.75,1,0.285835216367608,0.293553177417816,-64.5841114215007,2.99984531721526,0.973443680864488,0.9763557300493,1,1,0,0,0,0,0.00291204918481247
CP_caseC,C,CP,18,3,-0.75,0,0.340697111037047,0.211304001535072,-71.7854550935605,4.20400678786231,0.880801239184395,0.866005659835208,1,1,1,1,0,0,-0.0147955793491866
CP_caseC,C,CP,19,3.75,-0.75,0,0.231255639535105,0.228587586521577,-74.331995350851,5.34309962678624,0.635969111144391,0.587038820514262,1,1,1,1,0,0,-0.0489302906301282
CP_caseC,C,CP,20,4.5,-0.75,0,0.634706016367182,0.127805813340478,-78.1480149530705,7.05466445297953,0.171084943006443,0.145878475728266,0,0,0,0,0,0,-0.0252064672781767
