pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m
38,8.88510239119978,0.319515918872353,1,1,13,13,-58.1597517372239,-66.7695917197288,15.6191750675732,2.15102971482637,0.382409018211057,0.188175564741198,0.387853631042524,0.319625461494635,13,13,13,13,0,0,38,NA,NaN
39,8.32998839238207,0.292856911013845,0,1,18,18,-60.3663460871224,-67.5553744487495,12.7890038452018,3.87097293956231,0.424934177851114,0.155807933288066,0.411199395043989,0.179486137872213,18,18,18,18,0,0,39,NA,NaN
40,9.57435931833005,0.196966924993835,0,1,22,22,-64.0002201370988,-69.1613996142236,9.31203869261997,9.83667994404013,0.294423560832139,0.156786785320523,0.268973889170883,0.0676834646517952,22,22,22,22,0,0,40,NA,NaN
41,2.95439292277989,0.224708675302685,1,1,26.5,26.5,-67.3558996592794,-69.7483488469775,3.56558766452032,2.34319818103947,0.290777092857332,0.118437446837473,0.422949487006762,0.0666706745091722,26,26,27,27,1,0.499001996008261,41,NA,NaN
42,11.8607867429599,0.26276779800132,1,1,32,32,-64.5331558875836,-65.0219662151679,9.13263483516619,14.5889386507536,0.412576367480277,0.185526115964529,0.360226372392876,0.0927423361675972,32,32,32,32,0,0,42,NA,NaN
43,8.67004223778452,0.302486776097027,1,1,7.5,7.5,-59.2363352591661,-72.3250907246352,16.4418171339447,0.898267341624385,0.292070636240475,0.25133222222912,0.316540301317614,0.350003944600898,7,7,8,8,1,0.499001996008261,43,NA,NaN
44,40.3674259685888,0.225418382619456,1,1,10,10,-57.7915312901372,-76.2294961223888,80.0508302271273,0.684021710050408,0.318807465939872,0.0835669960753305,0.293434397306062,0.205864671156562,10,10,10,10,0,0,44,NA,NaN
45,17.2495528295668,0.279597286025862,1,1,14.5,14.5,-58.8657490791571,-68.4694453525842,33.7121915255139,0.786914133619774,0.36471011252303,0.0594429707509003,0.369063568687047,0.325172492142473,14,14,15,15,1,0.499001996008261,45,NA,NaN
46,10.6728962632734,0.218345290607036,0,1,18.5,18.5,-61.0961411907373,-70.2618435387306,18.1315731833737,3.21421934317313,0.40454786121944,0.169869949477323,0.205666506902643,0.0932968448287385,19,19,18,18,1,0.499001996008261,46,NA,NaN
47,9.01254089475082,0.156405896413252,0,1,23,23,-62.6088081972308,-68.801862168411,11.874991614009,6.15009017549268,0.323679192194509,0.0858277888450827,0.192206024008683,0.0239105806047351,23,23,23,23,0,0,47,NA,NaN
48,8.15557387131224,0.243250549655116,0,1,28,28,-62.1857181143275,-68.0371548372793,8.12185666005837,8.1892910825661,0.398480970991875,0.198889030938903,0.323522007723551,0.0521101889661333,28,28,28,28,0,0,48,NA,NaN
49,2.19265667394916,0.076884716386839,0,1,35,35,-74.6709049961932,-68.0608933061024,0.813407056754382,3.57190629114393,0.0934020728623139,0.022240046333195,0.106806948415736,0.0850897979361112,34,34,36,36,2,0.998003992016521,49,NA,NaN
50,1.35426173674698,0.277724610472966,1,1,10,10,-61.6405438636216,-74.9392136724512,2.01880853690272,0.689714936591238,0.357365423100802,0.310027905505098,0.222918211902526,0.220586901383436,10,10,10,10,0,0,50,NA,NaN
51,2.87950698210895,0.118419142272705,0,1,15,15,-82.615007352459,-85.0916505625418,0.346154624961092,5.41285933925681,0.120611088369975,0.205475665245329,0.116799041919953,0.030790773555563,14,14,16,16,2,0.998003992016521,51,NA,NaN
