model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,a_FP_LHCP_rx1,18,0.91390306122449,0.837372448979592,0.0765306122448978
rf,a_FP_LHCP_rx1,18,0.90625,0.902582908163265,0.00366709183673486
logistic,a_FP_RHCP_rx2,18,0.91390306122449,0.915816326530612,-0.00191326530612246
rf,a_FP_RHCP_rx2,18,0.90625,0.904974489795918,0.00127551020408168
logistic,a_FP_LHCP_rx2,18,0.91390306122449,0.911033163265306,0.00286989795918358
rf,a_FP_LHCP_rx2,18,0.90625,0.893813775510204,0.012436224489796
logistic,gamma_CP_rx1,19,0.91390306122449,0.921237244897959,-0.00733418367346939
rf,gamma_CP_rx1,19,0.90625,0.905771683673469,0.000478316326530726
logistic,gamma_CP_rx2,19,0.91390306122449,0.863520408163265,0.0503826530612244
rf,gamma_CP_rx2,19,0.90625,0.850127551020408,0.0561224489795918
logistic,a_FP_RHCP_rx1,19,0.91390306122449,0.89859693877551,0.0153061224489796
rf,a_FP_RHCP_rx1,19,0.90625,0.903380102040816,0.00286989795918391
logistic,a_FP_LHCP_rx1,19,0.91390306122449,0.780293367346939,0.133609693877551
rf,a_FP_LHCP_rx1,19,0.90625,0.908003826530612,-0.00175382653061207
logistic,a_FP_RHCP_rx2,19,0.91390306122449,0.919005102040816,-0.0051020408163267
rf,a_FP_RHCP_rx2,19,0.90625,0.907844387755102,-0.00159438775510179
logistic,a_FP_LHCP_rx2,19,0.91390306122449,0.921237244897959,-0.00733418367346961
rf,a_FP_LHCP_rx2,19,0.90625,0.892378826530612,0.0138711734693879
logistic,gamma_CP_rx1,20,0.91390306122449,0.910076530612245,0.00382653061224469
rf,gamma_CP_rx1,20,0.90625,0.896524234693877,0.00972576530612268
logistic,gamma_CP_rx2,20,0.91390306122449,0.874362244897959,0.0395408163265305
rf,gamma_CP_rx2,20,0.90625,0.871173469387755,0.0350765306122449
logistic,a_FP_RHCP_rx1,20,0.91390306122449,0.91422193877551,-0.000318877551020336
rf,a_FP_RHCP_rx1,20,0.90625,0.902901785714286,0.00334821428571441
logistic,a_FP_LHCP_rx1,20,0.91390306122449,0.852997448979592,0.0609056122448978
rf,a_FP_LHCP_rx1,20,0.90625,0.902901785714286,0.00334821428571441
logistic,a_FP_RHCP_rx2,20,0.91390306122449,0.912308673469388,0.00159438775510201
rf,a_FP_RHCP_rx2,20,0.90625,0.90625,2.22044604925031e-16
logistic,a_FP_LHCP_rx2,20,0.91390306122449,0.912627551020408,0.00127551020408168
rf,a_FP_LHCP_rx2,20,0.90625,0.897002551020408,0.00924744897959184
logistic,gamma_CP_rx1,21,0.91390306122449,0.90656887755102,0.00733418367346927
rf,gamma_CP_rx1,21,0.90625,0.91438137755102,-0.00813137755102022
logistic,gamma_CP_rx2,21,0.91390306122449,0.879464285714286,0.034438775510204
rf,gamma_CP_rx2,21,0.90625,0.855548469387755,0.0507015306122449
logistic,a_FP_RHCP_rx1,21,0.91390306122449,0.910714285714286,0.00318877551020402
rf,a_FP_RHCP_rx1,21,0.90625,0.908003826530612,-0.00175382653061218
logistic,a_FP_LHCP_rx1,21,0.91390306122449,0.8125,0.10140306122449
rf,a_FP_LHCP_rx1,21,0.90625,0.908163265306122,-0.00191326530612246
logistic,a_FP_RHCP_rx2,21,0.91390306122449,0.917091836734694,-0.00318877551020413
rf,a_FP_RHCP_rx2,21,0.90625,0.908003826530612,-0.00175382653061207
logistic,a_FP_LHCP_rx2,21,0.91390306122449,0.908163265306122,0.00573979591836715
rf,a_FP_LHCP_rx2,21,0.90625,0.900031887755102,0.00621811224489821
logistic,gamma_CP_rx1,22,0.91390306122449,0.893813775510204,0.0200892857142857
rf,gamma_CP_rx1,22,0.90625,0.90640943877551,-0.000159438775510168
logistic,gamma_CP_rx2,22,0.91390306122449,0.895408163265306,0.0184948979591836
rf,gamma_CP_rx2,22,0.90625,0.856823979591837,0.0494260204081634
logistic,a_FP_RHCP_rx1,22,0.91390306122449,0.901785714285714,0.0121173469387755
rf,a_FP_RHCP_rx1,22,0.90625,0.905931122448979,0.000318877551020558
logistic,a_FP_LHCP_rx1,22,0.91390306122449,0.827487244897959,0.0864158163265305
rf,a_FP_LHCP_rx1,22,0.90625,0.909119897959183,-0.00286989795918347
